match_id,home_team,away_team,status,winner
1,Mexico,South Africa,predicted,
2,South Korea,Czechia,locked,
3,Canada,Bosnia and Herzegovina,predicted,
4,United States,Paraguay,predicted,
5,Qatar,Switzerland,locked,
6,Brazil,Morocco,predicted,
7,Haiti,Scotland,predicted,
8,Australia,Turkey,predicted,
9,Germany,Curaçao,predicted,
10,Netherlands,Japan,predicted,
11,Ivory Coast,Ecuador,predicted,
12,Sweden,Tunisia,predicted,
13,Spain,Cape Verde,predicted,
14,Belgium,Egypt,predicted,
15,Saudi Arabia,Uruguay,predicted,
16,Iran,New Zealand,predicted,
17,France,Senegal,predicted,
18,Iraq,Norway,predicted,
19,Argentina,Algeria,locked,
20,Austria,Jordan,predicted,
21,Portugal,DR Congo,predicted,
22,England,Croatia,predicted,
23,Ghana,Panama,predicted,
24,Uzbekistan,Colombia,predicted,
25,Czechia,South Africa,predicted,
26,Switzerland,Bosnia and Herzegovina,predicted,
27,Canada,Qatar,predicted,
28,Mexico,South Korea,predicted,
29,United States,Australia,predicted,
30,Scotland,Morocco,predicted,
31,Brazil,Haiti,predicted,
32,Turkey,Paraguay,predicted,
33,Netherlands,Sweden,predicted,
34,Germany,Ivory Coast,predicted,
35,Ecuador,Curaçao,predicted,
36,Tunisia,Japan,predicted,
37,Spain,Saudi Arabia,predicted,
38,Belgium,Iran,predicted,
39,Uruguay,Cape Verde,predicted,
40,New Zealand,Egypt,predicted,
41,Argentina,Austria,predicted,
42,France,Iraq,predicted,
43,Norway,Senegal,predicted,
44,Jordan,Algeria,predicted,
45,Portugal,Uzbekistan,predicted,
46,England,Ghana,predicted,
47,Panama,Croatia,predicted,
48,Colombia,DR Congo,predicted,
49,Switzerland,Canada,predicted,
50,Bosnia and Herzegovina,Qatar,predicted,
51,Scotland,Brazil,predicted,
52,Morocco,Haiti,predicted,
53,Czechia,Mexico,predicted,
54,South Africa,South Korea,predicted,
55,Curaçao,Ivory Coast,predicted,
56,Ecuador,Germany,predicted,
57,Japan,Sweden,predicted,
58,Tunisia,Netherlands,predicted,
59,Turkey,United States,predicted,
60,Paraguay,Australia,predicted,
61,Norway,France,predicted,
62,Senegal,Iraq,predicted,
63,Cape Verde,Saudi Arabia,predicted,
64,Uruguay,Spain,predicted,
65,Egypt,Iran,predicted,
66,New Zealand,Belgium,predicted,
67,Panama,England,predicted,
68,Croatia,Ghana,predicted,
69,Colombia,Portugal,predicted,
70,DR Congo,Uzbekistan,predicted,
71,Algeria,Austria,predicted,
72,Jordan,Argentina,predicted,
73,South Korea,Switzerland,predicted,Switzerland
74,Morocco,Netherlands,predicted,Netherlands
75,Ivory Coast,Qatar,predicted,Ivory Coast
76,Japan,Brazil,predicted,Japan
77,Ecuador,France,predicted,France
78,Senegal,Scotland,predicted,Scotland
79,Mexico,Scotland,predicted,Mexico
80,England,Spain,predicted,Spain
81,Belgium,Spain,predicted,Spain
82,Paraguay,Qatar,predicted,Paraguay
83,Uruguay,Austria,predicted,Austria
84,Uzbekistan,Croatia,predicted,Croatia
85,Canada,Egypt,predicted,Canada
86,United States,Iran,predicted,Iran
87,Argentina,Cape Verde,predicted,Argentina
88,Colombia,Australia,predicted,Colombia
89,Switzerland,Ivory Coast,predicted,Switzerland
90,Netherlands,France,predicted,France
91,Japan,Scotland,predicted,Japan
92,Mexico,Spain,predicted,Spain
93,Austria,Croatia,predicted,Croatia
94,Spain,Paraguay,predicted,Spain
95,Iran,Colombia,predicted,Colombia
96,Canada,Argentina,predicted,Argentina
97,Switzerland,France,predicted,France
98,Croatia,Spain,predicted,Spain
99,Japan,Spain,predicted,Spain
100,Colombia,Argentina,predicted,Argentina
101,France,Spain,predicted,Spain
102,Spain,Argentina,predicted,Spain
103,France,Argentina,predicted,Argentina
104,Spain,Spain,predicted,Spain
